index,ID,stores,road_address,address_name,phone,X,Y,place_url
0,300033948,시너지플레이스 스터디카페 서귀포동홍점,제주특별자치도 서귀포시 문부로11번길 16-1,제주특별자치도 서귀포시 동홍동 641-4,070-8656-5683,126.5691344,33.2534589,http://place.map.kakao.com/300033948
1,560464299,더작심 제주서귀포점,제주특별자치도 서귀포시 천지로 54,제주특별자치도 서귀포시 서귀동 300-6,010-3692-9544,126.5595264,33.25203763,http://place.map.kakao.com/560464299
2,717536841,그루스터디카페 서귀포혁신도시센터,제주특별자치도 서귀포시 김정문화로41번길 14-4,제주특별자치도 서귀포시 법환동 744-1,010-4691-5500,126.509835,33.25249006,http://place.map.kakao.com/717536841
3,1058909,플랜트스터디카페 서귀포서홍점,제주특별자치도 서귀포시 중앙로 164,제주특별자치도 서귀포시 동홍동 1554-7,010-9916-8941,126.5598382,33.25918956,http://place.map.kakao.com/1058909
4,1655938868,스카이24스터디카페,제주특별자치도 서귀포시 중앙로 146,제주특별자치도 서귀포시 동홍동 1460-14,064-732-2775,126.5605219,33.25769257,http://place.map.kakao.com/1655938868
5,1497261692,집중소 제주1하임 스터디카페,제주특별자치도 서귀포시 동홍서로112번길 16-13,제주특별자치도 서귀포시 동홍동 92-7,0507-1322-8789,126.5713677,33.25761502,http://place.map.kakao.com/1497261692
6,1530839065,한림스터디카페,제주특별자치도 제주시 한림읍 한림상로 196,제주특별자치도 제주시 한림읍 한림리 1252-7,064-796-8680,126.2692593,33.41577258,http://place.map.kakao.com/1530839065
7,1199027579,탑코딩플레이스공부방카페,제주특별자치도 서귀포시 대정읍 에듀시티로239번길 12,제주특별자치도 서귀포시 대정읍 보성리 2476-2,064-792-0701,126.2749929,33.27928267,http://place.map.kakao.com/1199027579
8,75180675,정스터디카페,제주특별자치도 서귀포시 동홍서로 97-1,제주특별자치도 서귀포시 동홍동 578-12,,126.5694917,33.25763378,http://place.map.kakao.com/75180675
9,1691271779,더오름스터디카페,제주특별자치도 서귀포시 동홍남로 33,제주특별자치도 서귀포시 동홍동 109-4,,126.5718363,33.25703778,http://place.map.kakao.com/1691271779
10,1317432894,꿈스터디카페,제주특별자치도 서귀포시 동홍서로112번길 1,제주특별자치도 서귀포시 동홍동 60-10,1522-1160,126.5696787,33.25888679,http://place.map.kakao.com/1317432894
11,1769235091,온스터디카페,제주특별자치도 서귀포시 대정읍 하모상가로 35-5,제주특별자치도 서귀포시 대정읍 하모리 924-13,010-7321-3515,126.252669,33.22181349,http://place.map.kakao.com/1769235091
12,169627023,공유공간 이을,제주특별자치도 서귀포시 대정읍 에듀시티로50번길 6,제주특별자치도 서귀포시 대정읍 보성리 2377,064-794-1782,126.2834861,33.29106814,http://place.map.kakao.com/169627023
