index,ID,stores,road_address,address_name,phone,X,Y,place_url
0,838995986,오피스제주 사계점,제주특별자치도 서귀포시 안덕면 향교로 214,제주특별자치도 서귀포시 안덕면 사계리 3318-1,070-4833-5954,126.2905005,33.23414819,http://place.map.kakao.com/838995986
1,1562579151,바나나 오피스,제주특별자치도 제주시 원노형3길 4-9,제주특별자치도 제주시 노형동 915-3,064-743-1661,126.4851162,33.48721601,http://place.map.kakao.com/1562579151
2,418239907,아이데스크 공유오피스,제주특별자치도 제주시 연북로 161,제주특별자치도 제주시 연동 446,064-711-9988,126.4987247,33.48209846,http://place.map.kakao.com/418239907
3,1708338041,오피스 제주 조천점,제주특별자치도 제주시 조천읍 조천2길 25,제주특별자치도 제주시 조천읍 조천리 3191-1,064-783-7539,126.6309524,33.53304579,http://place.map.kakao.com/1708338041
4,1873924421,위피스 공유오피스,제주특별자치도 제주시 서광로 291,제주특별자치도 제주시 이도일동 1775-13,010-7466-7448,126.5275546,33.50064118,http://place.map.kakao.com/1873924421
5,1411908581,스타트업베이,제주특별자치도 서귀포시 중정로 86,제주특별자치도 서귀포시 서귀동 401-11,064-732-0049,126.5654562,33.24816345,http://place.map.kakao.com/1411908581
6,466632630,스페이스모노,제주특별자치도 서귀포시 대정읍 일주서로 2641,제주특별자치도 서귀포시 대정읍 하모리 1293,064-794-2641,126.2480117,33.22891268,http://place.map.kakao.com/466632630
7,1755314826,스타트업베이 글로벌센터,제주특별자치도 서귀포시 서호남로 25,제주특별자치도 서귀포시 서호동 1604,064-732-0049,126.5153965,33.2512063,http://place.map.kakao.com/1755314826
8,763409715,하이브플렉스,제주특별자치도 제주시 원남6길 58,제주특별자치도 제주시 도남동 221-2,010-5703-3256,126.5298024,33.4841686,http://place.map.kakao.com/763409715
9,187153748,비즈앤웍스,제주특별자치도 제주시 천수로6길 25,제주특별자치도 제주시 이도이동 409-10,010-2621-2380,126.5428397,33.50137923,http://place.map.kakao.com/187153748
10,1191673640,제주스위트박스,제주특별자치도 제주시 원노형5길 25,제주특별자치도 제주시 노형동 911-7,064-744-1225,126.4830149,33.4870071,http://place.map.kakao.com/1191673640
11,37026402,스타트업라운지,제주특별자치도 서귀포시 서문로 1,제주특별자치도 서귀포시 서귀동 299-1,070-882-6999,126.560753,33.25224033,http://place.map.kakao.com/37026402
12,1366453893,메이커스산양공유오피스,제주특별자치도 제주시 한경면 연명로 17,제주특별자치도 제주시 한경면 청수리 3289-1,064-773-3701,126.2349198,33.29261884,http://place.map.kakao.com/1366453893
13,63597088,꿈이룸 제주점,제주특별자치도 제주시 중앙로 27-19,제주특별자치도 제주시 일도일동 1274-3,,126.5261334,33.51557061,http://place.map.kakao.com/63597088
14,1368996307,서귀포 워케이션 거점오피스 (2023년10월예정),제주특별자치도 서귀포시 서호남로 25,제주특별자치도 서귀포시 서호동 1604,,126.5154439,33.25097657,http://place.map.kakao.com/1368996307
15,970220269,리플로우 제주,제주특별자치도 제주시 탑동로2길 3,제주특별자치도 제주시 삼도이동 1261-6,0507-1317-9465,126.5233157,33.51770468,http://place.map.kakao.com/970220269
